polygon,year,peak,tier,payout_pct
hex_009_023,1999,96.39022423060403,0,0.0
hex_009_023,2000,132.92440491328637,0,0.0
hex_009_023,2001,133.33505845423787,0,0.0
hex_009_023,2002,165.53804200313158,0,0.0
hex_009_023,2003,175.28439560402597,0,0.0
hex_009_023,2004,135.45646955388702,0,0.0
hex_009_023,2005,138.4802788226472,0,0.0
hex_009_023,2006,141.11150181390758,0,0.0
hex_009_023,2007,242.8885682983986,2,50.0
hex_010_000,1998,160.3071499456755,0,0.0
hex_010_000,1999,104.86576048973534,0,0.0
hex_010_000,2000,119.30370702445506,0,0.0
hex_010_000,2001,102.90961533057194,0,0.0
hex_010_000,2002,98.3172036780748,0,0.0
hex_010_000,2003,96.33426470301217,0,0.0
hex_010_000,2004,155.19396066913174,0,0.0
hex_010_000,2005,105.09070149503648,0,0.0
hex_010_000,2006,136.50953120352494,0,0.0
hex_010_000,2007,56.876185101568694,0,0.0
hex_010_016,1998,103.44827297124598,0,0.0
hex_010_016,1999,82.03889711849806,0,0.0
hex_010_016,2000,60.76657321398457,0,0.0
hex_010_016,2001,99.20528928288569,0,0.0
hex_010_016,2002,152.06691329380703,1,20.0
hex_010_016,2003,81.66216773411053,0,0.0
hex_010_016,2004,100.02095707791133,0,0.0
hex_010_016,2005,96.62839409707321,0,0.0
hex_010_016,2006,93.74696267568403,0,0.0
hex_010_016,2007,133.0945827367943,0,0.0
hex_010_018,1998,116.50555578699128,0,0.0
hex_010_018,1999,86.26453122342213,0,0.0
hex_010_018,2000,70.8755564444512,0,0.0
hex_010_018,2001,129.17256792787876,0,0.0
hex_010_018,2002,149.96902504905646,1,20.0
hex_010_018,2003,100.88796266522172,0,0.0
hex_010_018,2004,108.74336443624149,0,0.0
hex_010_018,2005,125.99808110578192,0,0.0
hex_010_018,2006,94.00989091628955,0,0.0
hex_010_018,2007,161.50633745096624,1,20.0
hex_010_019,1998,108.05820740881066,0,0.0
hex_010_019,1999,80.04244310446083,0,0.0
hex_010_019,2000,89.32306399707993,0,0.0
hex_010_019,2001,148.73168784754145,0,0.0
hex_010_019,2002,150.96402383861442,0,0.0
hex_010_019,2003,127.58802491013789,0,0.0
hex_010_019,2004,116.62269054663678,0,0.0
hex_010_019,2005,138.81060377686387,0,0.0
hex_010_019,2006,101.343707958286,0,0.0
hex_010_019,2007,203.64623104834308,2,50.0
hex_010_020,1998,114.9369119282398,0,0.0
hex_010_020,1999,86.13904836235776,0,0.0
hex_010_020,2000,95.40352456714957,0,0.0
hex_010_020,2001,149.89067774044972,0,0.0
hex_010_020,2002,159.7759499384049,0,0.0
hex_010_020,2003,136.20213119694756,0,0.0
hex_010_020,2004,120.58458398326404,0,0.0
hex_010_020,2005,139.28630273705556,0,0.0
hex_010_020,2006,109.81918842766021,0,0.0
hex_010_020,2007,227.11064289183668,2,50.0
hex_010_021,1998,117.93619543292456,0,0.0
hex_010_021,1999,82.6884498911351,0,0.0
hex_010_021,2000,91.79780997626898,0,0.0
hex_010_021,2001,153.71535231923477,0,0.0
hex_010_021,2002,174.0306266090605,0,0.0
hex_010_021,2003,151.60821841015996,0,0.0
hex_010_021,2004,146.868592545208,0,0.0
hex_010_021,2005,137.15033844783488,0,0.0
hex_010_021,2006,119.06636210099691,0,0.0
hex_010_021,2007,255.74761859845785,3,100.0
hex_010_022,1998,116.39031458459795,0,0.0
hex_010_022,1999,82.6884498911351,0,0.0
hex_010_022,2000,100.28822455449236,0,0.0
hex_010_022,2001,153.71535231923477,0,0.0
hex_010_022,2002,180.38069187815404,0,0.0
hex_010_022,2003,171.26980089606096,0,0.0
hex_010_022,2004,152.21018813057907,0,0.0
hex_010_022,2005,137.15033844783488,0,0.0
hex_010_022,2006,131.82941951103922,0,0.0
hex_010_022,2007,265.92188899389157,3,100.0
hex_010_023,1998,110.3666441229648,0,0.0
hex_010_023,1999,98.37611010072959,0,0.0
hex_010_023,2000,118.3788870584882,0,0.0
hex_010_023,2001,156.50485520986632,0,0.0
hex_010_023,2002,179.41939177382324,0,0.0
hex_010_023,2003,166.33598433372876,0,0.0
hex_010_023,2004,144.0028392426711,0,0.0
hex_010_023,2005,137.874918271506,0,0.0
hex_010_023,2006,137.933912891431,0,0.0
hex_010_023,2007,268.3672412381404,3,100.0
hex_011_014,1998,112.6734944094138,0,0.0
hex_011_014,1999,80.06725141733885,0,0.0
hex_011_014,2000,67.91467408090003,0,0.0
hex_011_014,2001,91.17533416472375,0,0.0
